Date_Time^Origin^Destination^Booked
2013-01-01 20:25:57^TXL^AUH^1
2013-01-01 10:15:33^ATH^MIL^0
2013-01-01 18:04:49^ICT^SFO^1
2013-01-01 17:42:40^RNB^ARN^1
2013-01-01 17:48:29^OSL^MAD^1
2013-01-01 22:00:28^IAH^BLR^1
2013-01-01 10:47:14^CPH^PAR^0
2013-01-01 23:39:49^PAR^DUB^0
2013-01-01 17:08:46^DUS^ACE^1
2013-01-01 19:57:57^FRA^BGW^1
2013-01-01 18:01:31^PAR^BUD^0
2013-01-01 09:32:18^RIO^POA^0
2013-01-01 05:41:14^HKG^MXP^1
2013-01-01 07:05:45^BCN^LON^0
2013-01-01 03:30:49^CLE^SNN^0
2013-01-01 09:19:41^BSB^SLZ^1
2013-01-01 06:20:43^PEK^PHL^0
2013-01-01 18:54:24^BOS^GRU^1
2013-01-01 10:47:24^TBS^IKT^0
2013-01-01 19:02:13^LON^HKG^0
2013-01-01 18:38:29^MAD^SEA^1
2013-01-01 14:07:13^DUS^STN^1
2013-01-01 15:14:09^PAD^FUE^1
2013-01-01 23:32:58^DUS^IST^1
2013-01-01 10:39:09^BHX^VIE^1
2013-01-01 13:49:17^CGB^SAO^0
2013-01-01 21:22:10^ZRH^BRI^1
2013-01-01 18:33:28^RUH^JED^1
2013-01-01 16:59:19^UME^CPH^1
2013-01-01 21:25:37^FRA^DRS^1
2013-01-01 10:13:02^BER^DUS^0
2013-01-01 01:47:30^WAW^VCE^1
2013-01-01 22:43:07^MOW^NBC^0
2013-01-01 17:09:52^FRA^USM^1
2013-01-01 17:59:44^FRA^IAD^1
2013-01-01 16:24:29^STO^BKK^0
2013-01-01 16:43:16^LYS^SIN^1
2013-01-01 07:25:32^HYD^LKO^1
2013-01-01 01:44:37^CPH^BKK^1
2013-01-01 18:45:56^GRZ^MUC^1
2013-01-01 06:36:57^DMM^MNL^1
2013-01-01 06:31:05^MAA^BBI^1
2013-01-01 12:22:08^CPH^MNL^1
2013-01-01 16:02:22^BOS^RSW^1
2013-01-01 07:45:38^PVG^CMH^0
2013-01-01 11:48:31^EWR^PLS^1
2013-01-01 13:58:19^STR^MIL^0
2013-01-01 13:01:06^TLV^HAJ^1
2013-01-01 19:14:18^DUS^NKC^0
2013-01-01 04:49:55^OTP^CPH^1
2013-01-01 15:57:28^DME^HEL^0
2013-01-01 21:58:18^DUS^AYT^1
2013-01-01 19:06:51^OPO^SEA^0
2013-01-01 18:49:43^STR^FLR^1
2013-01-01 21:42:06^CGN^LIS^1
2013-01-01 12:11:34^PAR^BOD^0
2013-01-01 21:41:38^BHX^IKA^1
2013-01-01 13:33:05^NYC^TLS^0
2013-01-01 10:57:13^MUC^MEX^1
2013-01-01 07:00:38^ATL^MIA^1
2013-01-01 02:11:27^LON^BKK^0
2013-01-01 20:38:27^SGC^LED^1
2013-01-01 11:58:10^BCN^VIE^1
2013-01-01 21:45:06^LED^FRA^1
2013-01-01 14:14:07^YUL^ATH^1
2013-01-01 16:46:38^LHR^DXB^1
2013-01-01 07:44:09^LYS^MRS^0
2013-01-01 12:57:34^ATL^MSY^1
2013-01-01 20:00:05^IAD^SVO^1
2013-01-01 07:22:58^KEF^CPH^1
2013-01-01 17:23:37^DSM^ONT^1
2013-01-01 20:13:34^CMH^SJD^0
2013-01-01 19:03:56^CGN^MUC^1
2013-01-01 14:25:20^LON^MNL^0
2013-01-01 18:15:46^PEE^SOF^0
2013-01-01 17:13:41^PHL^LON^0
2013-01-01 00:06:35^LED^BUD^1
2013-01-01 16:40:47^MSP^KHH^0
2013-01-01 15:22:10^LON^ORL^0
2013-01-01 10:46:27^ROM^MRS^0
2013-01-01 15:29:41^FRA^TFN^0
2013-01-01 12:38:55^FRA^NYC^0
2013-01-01 14:17:37^KOA^YVR^0
2013-01-01 02:04:17^CCU^HYD^1
2013-01-01 11:39:49^IXC^PNQ^0
2013-01-01 11:08:27^CMN^BLQ^1
2013-01-01 17:28:53^ACE^DUS^1
2013-01-01 15:00:33^SKG^DUS^1
2013-01-01 23:26:45^SLC^MKC^0
2013-01-01 13:53:02^AMS^DEN^1
2013-01-01 00:35:02^JFK^VIE^1
2013-01-01 14:31:13^VTZ^SVX^0
2013-01-01 15:10:30^PAR^REK^0
2013-01-01 20:15:57^FRA^AGP^1
2013-01-01 10:33:19^DXB^KUL^1
2013-01-01 18:39:14^PMO^VRN^1
2013-01-01 08:47:07^QYG^SFO^0
2013-01-01 21:07:29^MAH^PAR^0
2013-01-01 17:17:21^SFO^LGW^0
